datetime,priceUSD,activeAddresses,adjustedVolume,paymentCount,exchangeVolume,priceBTC
2015-08-07,-0.7590256088,-0.930777461,-0.6324361229,-0.9263827736,-0.7561276587,-0.9584092596
2015-08-08,-0.7591750358,-0.9325030928,-0.5924320855,-0.9264067635,-0.7557563737,-0.96439077
2015-08-09,-0.7669596758,-0.9331269751,-0.6384722464,-0.9309648376,-0.7558597928,-1.2069187644
2015-08-10,-0.7669303395,-0.9313416099,-0.638012237,-0.9295374407,-0.7559521933,-1.2074136059
2015-08-11,-0.7669523874,-0.9224413322,-0.6381872287,-0.9200734395,-0.7551818792,-1.2077715553
2015-08-12,-0.7656377546,-0.9319721292,-0.6385046957,-0.9293695117,-0.7546812196,-1.166450244
2015-08-13,-0.7650400465,-0.9295296965,-0.6367842835,-0.9233300635,-0.753284467,-1.1442254433
2015-08-14,-0.7628359979,-0.927405842,-0.6343267082,-0.9201634015,-0.7528705882,-1.0685132169
2015-08-15,-0.7628733547,-0.9292708518,-0.6222313076,-0.9252252627,-0.7543872116,-1.0709751383
2015-08-16,-0.7633216358,-0.9300075638,-0.6358957186,-0.9242056935,-0.7536616002,-1.0831026614
2015-08-17,-0.7636952033,-0.9296956227,-0.6328104335,-0.9237858709,-0.7548325345,-1.0932109237
2015-08-18,-0.7650400465,-0.9293969556,-0.636503411,-0.924301653,-0.7551654362,-1.139334344
2015-08-19,-0.7652268303,-0.9290252811,-0.6373946104,-0.9193657385,-0.7551650284,-1.1241674858
2015-08-20,-0.7649279763,-0.9302398604,-0.6387588474,-0.9251412982,-0.7541764673,-1.1133419617
2015-08-21,-0.7640687709,-0.9285275027,-0.6383846738,-0.9153954161,-0.7547756321,-1.0873361559
2015-08-22,-0.7643676249,-0.9286005102,-0.6384096419,-0.917518519,-0.755556755,-1.0963823711
2015-08-23,-0.7644423384,-0.9275651311,-0.6386290754,-0.9140999634,-0.755089979,-1.097291893
2015-08-24,-0.7645544087,-0.9284544952,-0.6387123094,-0.9120068478,-0.7555737879,-1.0996909181
2015-08-25,-0.7650026898,-0.9274987607,-0.6388674329,-0.9124746502,-0.7552954219,-1.1017930187
2015-08-26,-0.7653762573,-0.9278505241,-0.6388629935,-0.9140100014,-0.7554777878,-1.1273805472
2015-08-27,-0.7652268303,-0.9274257532,-0.6390928035,-0.9056075517,-0.75574729,-1.1244582635
2015-08-28,-0.7653015438,-0.9278239759,-0.6390594847,-0.9103395523,-0.7557216497,-1.1263903709
2015-08-29,-0.7651521168,-0.9288593549,-0.6388553661,-0.9139740166,-0.7559739712,-1.1256782714
2015-08-30,-0.7651894736,-0.9272067307,-0.6388853646,-0.9113111418,-0.7552732333,-1.1258988833
2015-08-31,-0.764666479,-0.9279301686,-0.6388633246,-0.9076167028,-0.7551934724,-1.1049213851
2015-09-01,-0.7645544087,-0.9276646868,-0.6356021648,-0.9082524341,-0.7556801489,-1.101534572
2015-09-02,-0.7645544087,-0.9279368057,-0.6390294086,-0.9089541377,-0.7556037545,-1.0996216461
2015-09-03,-0.7647411925,-0.9283748506,-0.6385951775,-0.9110892355,-0.755735399,-1.1080071772
2015-09-04,-0.7648906195,-0.9283615766,-0.6392184028,-0.9087082416,-0.7559018681,-1.1121243403
2015-09-05,-0.764815906,-0.9281226429,-0.6392091076,-0.9068370322,-0.7559207564,-1.1116288371
2015-09-06,-0.7645917655,-0.9274523014,-0.6389941642,-0.9062132957,-0.7558890683,-1.106794434
2015-09-07,-0.7647411925,-0.9271536343,-0.6391676756,-0.906075354,-0.7558912195,-1.1163709501
2015-09-08,-0.7649279763,-0.9277310573,-0.6390856344,-0.9058834351,-0.7559357292,-1.1232657055
2015-09-09,-0.764965333,-0.9277443313,-0.6377241519,-0.9064292045,-0.7559802549,-1.1271794035
2015-09-10,-0.7650774033,-0.9277708795,-0.6391854036,-0.9076886723,-0.7557646797,-1.1277634058
2015-09-11,-0.7652641871,-0.9266956782,-0.6384476091,-0.9008995409,-0.754832702,-1.1347557063
2015-09-12,-0.7659096072,-0.9277376943,-0.6392276517,-0.9066331183,-0.7556848328,-1.1598175541
2015-09-13,-0.7657124681,-0.9273792939,-0.6392045283,-0.9038323018,-0.7557782564,-1.1496419141
2015-09-14,-0.7660839213,-0.9272200048,-0.6391820368,-0.9068010474,-0.7557076586,-1.1610660877
2015-09-15,-0.7663281486,-0.9281226429,-0.6381870613,-0.9072448599,-0.7557351085,-1.1704585485
2015-09-16,-0.7660786503,-0.9279633538,-0.6388448069,-0.9041801548,-0.7557990432,-1.1606488758
2015-09-17,-0.7662098173,-0.9279168945,-0.6391617259,-0.9076646825,-0.755593435,-1.1650654898
2015-09-18,-0.766330446,-0.928281932,-0.6390510377,-0.9062372856,-0.7558944178,-1.1721901741
2015-09-19,-0.7664237296,-0.9289124513,-0.6390822118,-0.908624277,-0.7559655159,-1.1754137792
2015-09-20,-0.7663057271,-0.9282553838,-0.6393509811,-0.9015652596,-0.755877165,-1.1700913702
2015-09-21,-0.7660804471,-0.9278903463,-0.6393105756,-0.9024528846,-0.755938535,-1.1612908881
